date,LUV,DAL,AA,ETFC,cash,shares_LUV,shares_DAL,shares_AA,shares_ETFC,eq_value,portfolio
2012-02-06 16:00:00,9.72,1.0,10.67,9.22,9028.0,100,0,0,0,972.0000000000001,10000.0
2012-02-07 16:00:00,9.61,1.0,10.6,9.1,9028.0,100,0,0,0,961.0,9989.0
2012-02-08 16:00:00,9.6,1.0,10.6,9.13,9028.0,100,0,0,0,960.0,9988.0
2012-02-09 16:00:00,9.75,1.0,10.57,9.19,9028.0,100,0,0,0,975.0,10003.0
2012-02-10 16:00:00,9.59,1.0,10.22,9.21,9028.0,100,0,0,0,959.0,9987.0
2012-02-13 16:00:00,9.69,1.0,10.26,9.31,9997.0,0,0,0,0,0.0,9997.0
2012-02-14 16:00:00,9.56,1.0,10.14,9.07,9997.0,0,0,0,0,0.0,9997.0
2012-02-15 16:00:00,9.5,1.0,10.03,9.17,9997.0,0,0,0,0,0.0,9997.0
2012-02-16 16:00:00,9.56,1.0,10.21,9.26,9997.0,0,0,0,0,0.0,9997.0
2012-02-17 16:00:00,9.4,1.0,10.08,9.35,9997.0,0,0,0,0,0.0,9997.0
2012-02-21 16:00:00,9.07,1.0,10.34,9.5,9997.0,0,0,0,0,0.0,9997.0
2012-02-22 16:00:00,8.99,1.0,10.31,9.32,9897.0,0,100,0,0,100.0,9997.0
2012-02-23 16:00:00,8.85,1.0,10.39,9.49,9897.0,0,100,0,0,100.0,9997.0
2012-02-24 16:00:00,8.66,1.0,10.36,9.66,9897.0,0,100,0,0,100.0,9997.0
2012-02-27 16:00:00,8.8,1.0,10.25,9.66,9897.0,0,100,0,0,100.0,9997.0
2012-02-28 16:00:00,8.93,1.0,10.3,9.68,9897.0,0,100,0,0,100.0,9997.0
2012-02-29 16:00:00,8.96,1.0,10.1,9.64,9997.0,0,0,0,0,0.0,9997.0
2012-03-01 16:00:00,8.86,1.0,10.2,9.84,9997.0,0,0,0,0,0.0,9997.0
2012-03-02 16:00:00,8.94,1.0,10.17,9.99,9997.0,0,0,0,0,0.0,9997.0
2012-03-05 16:00:00,8.72,1.0,9.8,9.71,9017.0,0,0,100,0,980.0000000000001,9997.0
2012-03-06 16:00:00,8.58,1.0,9.41,9.27,9017.0,0,0,100,0,941.0,9958.0
2012-03-07 16:00:00,8.47,1.0,9.48,9.4,9017.0,0,0,100,0,948.0,9965.0
2012-03-08 16:00:00,8.48,1.0,9.7,9.68,9017.0,0,0,100,0,969.9999999999999,9987.0
2012-03-09 16:00:00,8.46,1.0,9.74,9.67,9017.0,0,0,100,0,974.0,9991.0
2012-03-12 16:00:00,8.26,1.0,9.8,9.58,9997.0,0,0,0,0,0.0,9997.0
2012-03-13 16:00:00,8.39,1.0,10.24,10.05,9997.0,0,0,0,0,0.0,9997.0
2012-03-14 16:00:00,8.16,1.0,10.21,10.4,9997.0,0,0,0,0,0.0,9997.0
2012-03-15 16:00:00,8.43,1.0,10.28,10.95,9997.0,0,0,0,0,0.0,9997.0
2012-03-16 16:00:00,8.29,1.0,10.47,11.04,9997.0,0,0,0,0,0.0,9997.0
2012-03-19 16:00:00,8.39,1.0,10.53,11.22,9997.0,0,0,0,0,0.0,9997.0
2012-03-20 16:00:00,8.37,1.0,10.37,11.22,9997.0,0,0,0,0,0.0,9997.0
2012-03-21 16:00:00,8.3,1.0,10.2,11.26,9997.0,0,0,0,0,0.0,9997.0
2012-03-22 16:00:00,8.17,1.0,9.94,11.03,9997.0,0,0,0,0,0.0,9997.0
2012-03-23 16:00:00,8.21,1.0,10.04,11.27,9997.0,0,0,0,0,0.0,9997.0
2012-03-26 16:00:00,8.33,1.0,10.15,11.36,9997.0,0,0,0,0,0.0,9997.0
2012-03-27 16:00:00,8.21,1.0,9.99,11.19,9997.0,0,0,0,0,0.0,9997.0
2012-03-28 16:00:00,8.34,1.0,9.76,11.03,9021.0,0,0,100,0,976.0,9997.0
